CodigoCliente;CodigoContrato;DataInicio;DataTermino;Fechado;Placa;Cor;Modelo;ValorPeriodoVeiculo;ValorCombustivel;ValorLocacao;PeriodoTarifa;ValorDiversos
2183;26902;05/07/2021;07/07/2021;Sim;RMV8D70;Prata;Hilux Cd 4x4 2.8 Diesel Mec;600;0;1800;1;0
1983;26915;07/07/2021;08/07/2021;Sim;RGA5J84;Prata;STRADA ENDURANCE CS 1.4 02;140;0;140;1;0
2186;26921;08/07/2021;09/07/2021;Sim;RMY0E61;Prata;VOYAGE 1.6 L MB5;110;0;110;1;0
1196;26947;14/07/2021;15/07/2021;Sim;QOS4685;Preta;Etios Platinum Sed. 1.5 Flex 16v 4p Aut.;140;0;140;1;0
1780;26948;14/07/2021;02/08/2021;Sim;QUK9837;Branca;Versa 16 Sv Cvt;1800;0;1140;30;0
2189;26951;15/07/2021;22/07/2021;Sim;RMZ2I76;Prata;Hilux Cd 4x4 2.8 Diesel Mec;600;0;4200;1;0
1676;26959;16/07/2021;19/07/2021;Sim;RMF0A24;Prata;Gol 1.6 Msi Flex 8v 5p;106,67;0;320,01;1;0
2139;26961;16/07/2021;19/07/2021;Sim;RME6J16;Prata;Gol 1.6 Msi Flex 8v 5p;100;0;300;1;0
1949;26968;17/07/2021;19/07/2021;Sim;QWU1054;Prata;Etios Hb Xls 1.5;100;0;200;1;0
2183;26969;19/07/2021;22/07/2021;Sim;RMZ2I77;Prata;Hilux Cd 4x4 2.8 Diesel Mec;550;0;1650;1;0
1087;26909;19/07/2021;22/08/2021;Sim;QQU2455;Prata;Corolla Gli 1.8 Cvt;4200;0;4760;30;0
1392;27044;21/07/2021;22/07/2021;Sim;QWU1035;Cinza;Etios Hb Xls 1.5;110;0;0;1;0
1392;27047;21/07/2021;24/07/2021;Sim;RMF0A23;Cinza;Gol 1.6 Msi Flex 8v 5p;99,18;32,45;329,99;1;0
2181;27045;21/07/2021;23/07/2021;Sim;QWU1054;Prata;Etios Hb Xls 1.5;90;0;180;1;0
1885;27046;21/07/2021;29/08/2021;Sim;PPY8018;Branca;Frontier Se Atx 4;230;0;9000;1;30
848;27055;22/07/2021;27/07/2021;Sim;QQZ9779;Branca;Frontier Se Atx 4;300;0;1500;1;0
2192;27048;22/07/2021;23/08/2021;Sim;QWU1035;Cinza;Etios Hb Xls 1.5;62,5;0;2000;1;0
2193;27935;22/07/2021;19/09/2021;Sim;QWU1035;Cinza;Etios Hb Xls 1.5;53,56;0;3190,04;1;30
2193;27059;22/07/2021;18/08/2021;Sim;QWU1185;Cinza;Etios Hb Xls 1.5;60;0;0;1;0
2193;27532;22/07/2021;28/08/2021;Sim;QXG3483;Prata;Onix 1.0mt Lt Flex Power Sp. Mec.;60;0;0;1;0
2003;27065;24/07/2021;26/07/2021;Sim;QQZ5251;Prata;Saveiro Robust 1.6 Total Flex 8v;75;0;150;1;0
1305;27066;24/07/2021;02/08/2021;Sim;QOS4685;Preta;Etios Platinum Sed. 1.5 Flex 16v 4p Aut.;100;0;900;1;0
2195;27067;25/07/2021;04/09/2021;Sim;QWU1181;Prata;Etios Hb Xls 1.5;60;0;2460;1;0
1676;27068;26/07/2021;02/08/2021;Sim;RNH0B03;Branco Banchisa;Strada Freedom 1.3 Flex 8v Cs Plus;157,14;0;1100;1;0,02
2196;27081;26/07/2021;26/07/2021;Sim;RFT8C61;Prata Sirius;Gol 1.6 Msi Flex 8v 5p;100;0;100;1;0
2201;27091;27/07/2021;28/07/2021;Sim;RMD5B14;Branco;Toro Endurance Atd4;400;0;400;1;0
1885;27039;28/07/2021;19/08/2021;Sim;RFF0F28;Prata Sirius;VOYAGE 1.6 L MB5;60;0;1320;1;0
1885;27043;28/07/2021;22/08/2021;Sim;RMY0E57;Prata;VOYAGE 1.6 L MB5;60;0;1500;1;0
2204;27168;30/07/2021;31/08/2021;Sim;RNH0B00;Branco Banchisa;Strada Freedom 1.3 Flex 8v Cs Plus;2590;0;2762,67;30;0
1983;27340;02/08/2021;01/09/2021;Sim;RME6J17;Prata;Gol 1.6 Msi Flex 8v 5p;1700;0;1700;30;0
2181;27477;04/08/2021;06/08/2021;Sim;RMY0E61;Prata;VOYAGE 1.6 L MB5;110;0;220;1;0
2182;27485;05/08/2021;12/08/2021;Sim;QOV1080;Preto;Renegade Lngtd At D;300;0;2100;1;0
2208;27486;06/08/2021;07/08/2021;Sim;QWU1064;Prata;Etios Hb Xls 1.5;100;0;0;1;0
2208;27488;06/08/2021;21/08/2021;Sim;RMY0E61;Prata;VOYAGE 1.6 L MB5;100;0;1600;1;100
2209;27487;07/08/2021;09/08/2021;Sim;QQZ9775;Branca;Frontier Sccd 4x4 2.3 Tb Diesel Mec.;400;0;800;1;0
586;27489;07/08/2021;09/08/2021;Sim;QWU1064;Prata;Etios Hb Xls 1.5;110;0;220;1;0
1541;27512;12/08/2021;16/08/2021;Sim;QXG3483;Prata;Onix 1.0mt Lt Flex Power Sp. Mec.;110;0;500;1;60
1037;27511;12/08/2021;13/08/2021;Sim;QUK9837;Branca;Versa 16 Sv Cvt;120;0;120;1;0
2213;27515;13/08/2021;19/08/2021;Sim;RMZ2I76;Prata;Hilux Cd 4x4 2.8 Diesel Mec;475;0;2850;1;0
2214;27528;16/08/2021;17/08/2021;Sim;RNH0B04;Branco Banchisa;Strada Freedom 1.3 Flex 8v Cs Plus;220;0;220;1;0
1983;27547;20/08/2021;21/08/2021;Sim;RNH0B03;Branco Banchisa;Strada Freedom 1.3 Flex 8v Cs Plus;140;0;140;1;0
2015;27942;23/08/2021;08/10/2021;Sim;QWU1193;Prata;Etios Hb Xls 1.5;2000;0;3458;30;391,33
2015;27601;23/08/2021;08/09/2021;Sim;RMY0E57;Prata;VOYAGE 1.6 L MB5;2000;0;0;30;0
1806;27612;26/08/2021;30/08/2021;Sim;QOS4685;Preta;Etios Platinum Sed. 1.5 Flex 16v 4p Aut.;140;0;560;1;0
1268;27618;26/08/2021;19/09/2021;Sim;RMY0E61;Prata;VOYAGE 1.6 L MB5;55;90,86;1440,86;1;30
848;27626;27/08/2021;30/08/2021;Sim;QOV1080;Preto;Renegade Lngtd At D;300;0;900;1;0
2220;27621;27/08/2021;02/09/2021;Sim;QUK9837;Branca;Versa 16 Sv Cvt;140;0;840;1;0
2222;27643;30/08/2021;30/09/2021;Sim;QQU2455;Prata;Corolla Gli 1.8 Cvt;158,06;0;4900;1;0,14
848;27927;03/09/2021;08/09/2021;Sim;PPY8018;Branca;Frontier Se Atx 4;300;0;1500;1;0
1332;27951;11/09/2021;15/09/2021;Sim;RMY0A62;Cinza;Voyage 1.6 Af5;200;0;800;1;0
1145;27949;11/09/2021;13/09/2021;Sim;QOS4685;Preta;Etios Platinum Sed. 1.5 Flex 16v 4p Aut.;100;0;200;1;0
2220;27952;13/09/2021;16/09/2021;Sim;QUK9837;Branca;Versa 16 Sv Cvt;140;0;420;1;0
1541;27959;13/09/2021;15/09/2021;Sim;QNF9536;Prata;Versa Sl 1.6 16v Flexstart 4p Aut.;155;0;310;1;0
335;28001;16/09/2021;17/09/2021;Sim;QUK9837;Branca;Versa 16 Sv Cvt;180;38,94;248,94;1;30
2226;28065;21/09/2021;21/10/2021;Sim;RNH0B02;Branco Banchisa;Strada Freedom 1.3 Flex 8v Cs Plus;2400;0;2400;30;0
1635;28071;22/09/2021;17/11/2021;Sim;QWU1035;Cinza;Etios Hb Xls 1.5;1800;0;3360;30;0
2227;28084;25/09/2021;04/10/2021;Sim;RFF0F28;Prata Sirius;VOYAGE 1.6 L MB5;140;0;1260;1;0
1983;28114;28/09/2021;29/09/2021;Sim;RNH0B04;Branco Banchisa;Strada Freedom 1.3 Flex 8v Cs Plus;170;0;170;1;0
2182;28119;29/09/2021;15/10/2021;Sim;PPY8018;Branca;Frontier Se Atx 4;500;0;0;1;0
2182;28569;29/09/2021;26/10/2021;Sim;PPY8018;Branca;Frontier Se Atx 4;500;0;0;1;0
2182;28458;29/09/2021;21/10/2021;Sim;RNW0B48;Branca;Frontier Sccd 4x4 2.3 Tb Diesel Mec.;500;0;0;1;0
2182;28573;29/09/2021;31/10/2021;Sim;RNW0B48;Branca;Frontier Sccd 4x4 2.3 Tb Diesel Mec.;234,37;0;7500;1;0,16
2229;28381;01/10/2021;02/10/2021;Sim;RNH0B04;Branco Banchisa;Strada Freedom 1.3 Flex 8v Cs Plus;250;0;250;1;0
2228;28403;02/10/2021;09/10/2021;Sim;QXS3A06;Cinza;Spin Primier 1.8 8v Econo.Flex 5p Mec;250;0;1750;1;0
1983;28406;04/10/2021;08/10/2021;Sim;RNH0B04;Branco Banchisa;Strada Freedom 1.3 Flex 8v Cs Plus;140;0;560;1;0
2181;28412;04/10/2021;06/10/2021;Sim;RFF0F28;Prata Sirius;VOYAGE 1.6 L MB5;110;0;220;1;0
2230;28429;06/10/2021;01/11/2021;Sim;RNW9D80;Cinza;Gol 1.6 Msi Flex 8v 5p;2100;0;1820;30;0
1948;28435;08/10/2021;13/10/2021;Sim;RFF0F38;Prata Sirius;VOYAGE 1.6 L MB5;100;0;500;1;0
1676;28468;18/10/2021;21/10/2021;Sim;RNX9E92;Prata;Gol 1.6 Msi Flex 8v 5p;110;0;360;1;30
841;28464;18/10/2021;21/10/2021;Sim;RME6J17;Prata;Gol 1.6 Msi Flex 8v 5p;100;0;300;1;0
1983;28568;18/10/2021;17/11/2021;Sim;RNH0B01;Branco Banchisa;Strada Freedom 1.3 Flex 8v Cs Plus;2600;0;2600;30;0
1983;28470;18/10/2021;21/10/2021;Sim;RNH0B04;Branco Banchisa;Strada Freedom 1.3 Flex 8v Cs Plus;140;0;0;1;0
537;28642;29/10/2021;17/11/2021;Sim;QOM8381;Branca;Fiorino Hard Working;1800;0;0;30;0
537;28987;29/10/2021;30/11/2021;Sim;RFX5E14;Branca;STRADA ENDURANCE CS 1.4 02;1800;97,35;2017,35;30;0
