Codigo Cliente;Codigo Contrato;Data Inicio do contrato;Data Término do contrato;Fechado;Placa;Cor;Modelo;Valor Período (diária/mensal);Valor Periodo Seguro adicional;Periodo Tarifa;Valor Locação com seguro;;;;;;;;;;;;;;
91;3061;24/03/23;27/03/23;Não;QXJ0363;Branco;Onix Hatch 1.0  8v Flex Power 5p;324,00;28,00;3;408,00;;;;;;;;;;;;;;
92;3062;28/03/23;29/03/23;Sim;QQS7853;Branco;Ka 1.0 Ticvt Flex 8v 5p;89,00;28,00;1;117,00;;;;;;;;;;;;;;
80;2814;13/01/23;23/01/23;Sim;QOV8599;Branco;Ka + Sedan 1.5 16v Flex 4p;1170,00;39,00;12;1638,00;;;;;;;;;;;;;;
80;2937;16/02/23;24/02/23;Sim;QUB6448;Branco;Fiat Strada Working Hard 1.4 Fire Flex 8V;223,40;39,00;1;262,40;;;;;;;;;;;;;;
89;2942;24/02/23;27/02/23;Não;RGC2E01;Prata;Hb20 Sense 1.0 Flex;115,00;28,00;1;143,00;;;;;;;;;;;;;;
78;2820;30/01/23;31/01/23;Sim;QOV8613;Branco;Ka 1.0 Ticvt Flex 8v 5p;154,00;28,00;3;238,00;;;;;;;;;;;;;;
73;2816;23/01/23;26/01/23;Sim;QQS9966;Branco;Ka 1.0 Ticvt Flex 8v 5p;616,00;28,00;4;728,00;;;;;;;;;;;;;;
62;2932;10/02/23;10/03/23;Não;QQI3332;Branco;Saveiro Robust 1.6 Total Flex 8V;2820,00;255,00;30;3075,00;;;;;;;;;;;;;;
62;2933;10/02/23;10/03/23;Não;QQI3320;Branco;Saveiro Robust 1.6 Total Flex 8V;2000,00;255,00;30;2255,00;;;;;;;;;;;;;;
87;2936;16/02/23;17/02/23;Sim;QOV8592;Branco;Ka 1.0 Ticvt Flex 8v 5p;89,00;28,00;1;117,00;;;;;;;;;;;;;;
87;3057;15/03/23;28/03/23;Sim;QQS7853;Branco;Ka 1.0 Ticvt Flex 8v 5p;89,00;28,00;1;117,00;;;;;;;;;;;;;;
87;3063;03/04/23;06/04/23;Sim;QQS7853;Branco;Ka 1.0 Ticvt Flex 8v 5p;89,00;28,00;1;117,00;;;;;;;;;;;;;;
86;2934;13/02/23;14/02/23;Sim;QUB6448;Branco;Fiat Strada Working Hard 1.4 Fire Flex 8V;223,40;39,00;1;262,40;;;;;;;;;;;;;;
82;2817;26/01/23;07/02/23;Sim;QOV8592;Branco;Ka 1.0 Ticvt Flex 8v 5p;97,00;28,00;1;125,00;;;;;;;;;;;;;;
82;3018;10/03/23;13/03/23;Sim;QOV8592;Branco;Ka 1.0 Ticvt Flex 8v 5p;126,00;28,00;3;210,00;;;;;;;;;;;;;;
95;3081;06/04/23;10/04/23;Sim;QQS7853;Branco;Ka 1.0 Ticvt Flex 8v 5p;125,00;28,00;1;153,00;;;;;;;;;;;;;;
