DataInicio;DataTermino;Modelo
01/02/2023 00:00;01/03/2023 00:00;Ka 1.0 Ticvt Flex 8v 5p
01/03/2023 00:00;01/04/2023 00:00;Ka 1.0 Ticvt Flex 8v 5p
01/04/2023 00:00;01/05/2023 00:00;Ka 1.0 Ticvt Flex 8v 5p
27/05/2022 00:00;01/06/2022 00:00;Fiat Strada Working Hard 1.4 Fire Flex 8V
01/06/2022 00:00;01/07/2022 00:00;Fiat Strada Working Hard 1.4 Fire Flex 8V
01/07/2022 00:00;01/08/2022 00:00;Fiat Strada Working Hard 1.4 Fire Flex 8V
01/08/2022 00:00;01/09/2022 00:00;Fiat Strada Working Hard 1.4 Fire Flex 8V
01/09/2022 00:00;01/10/2022 00:00;Fiat Strada Working Hard 1.4 Fire Flex 8V
01/10/2022 00:00;01/11/2022 00:00;Fiat Strada Working Hard 1.4 Fire Flex 8V
01/11/2022 00:00;21/12/2022 00:00;Fiat Strada Working Hard 1.4 Fire Flex 8V
01/01/2022 00:00;01/01/2022 00:00;Ka 1.0 Ticvt Flex 8v 5p
19/09/2022 00:00;19/10/2022 00:00;Ka + Sedan 1.5 16v Flex 4p
19/10/2022 00:00;19/11/2022 00:00;Ka + Sedan 1.5 16v Flex 4p
19/11/2022 00:00;19/12/2022 00:00;Ka + Sedan 1.5 16v Flex 4p
19/12/2022 00:00;19/01/2023 00:00;Ka + Sedan 1.5 16v Flex 4p
28/11/2022 00:00;05/12/2022 00:00;Ka + Sedan 1.5 16v Flex 4p
08/11/2021 00:00;01/12/2021 00:00;Ka 1.0 Ticvt Flex 8v 5p
01/12/2021 00:00;01/01/2022 00:00;Ka 1.0 Ticvt Flex 8v 5p
01/01/2022 00:00;01/02/2022 00:00;Ka 1.0 Ticvt Flex 8v 5p
01/02/2022 00:00;18/02/2022 00:00;Ka 1.0 Ticvt Flex 8v 5p
08/11/2021 00:00;01/12/2021 00:00;Ka 1.0 Ticvt Flex 8v 5p
01/02/2022 00:00;01/03/2022 00:00;Ka 1.0 Ticvt Flex 8v 5p
01/03/2022 00:00;01/04/2022 00:00;Ka 1.0 Ticvt Flex 8v 5p
01/04/2022 00:00;04/04/2022 00:00;Ka 1.0 Ticvt Flex 8v 5p
01/12/2021 00:00;01/01/2022 00:00;Ka 1.0 Ticvt Flex 8v 5p
01/01/2022 00:00;18/01/2022 00:00;Ka 1.0 Ticvt Flex 8v 5p
22/11/2021 00:00;01/12/2021 00:00;Ka 1.0 Ticvt Flex 8v 5p
01/12/2021 00:00;24/12/2021 00:00;Ka 1.0 Ticvt Flex 8v 5p
13/12/2022 00:00;17/12/2022 00:00;Ka 1.0 Ticvt Flex 8v 5p
02/01/2023 00:00;02/02/2023 00:00;Ka 1.0 Ticvt Flex 8v 5p
23/05/2022 00:00;26/08/2022 00:00;Ka 1.0 Ticvt Flex 8v 5p
13/12/2021 00:00;17/12/2021 00:00;Ka 1.0 Ticvt Flex 8v 5p
05/12/2022 00:00;18/02/2023 00:00;Ka + Sedan 1.5 16v Flex 4p
06/01/2023 00:00;13/01/2023 00:00;Ka + Sedan 1.5 16v Flex 4p
27/09/2021 00:00;04/10/2021 00:00;Ka 1.0 Ticvt Flex 8v 5p
17/10/2020 00:00;17/11/2020 00:00;Ka 1.0 Ticvt Flex 8v 5p
17/11/2020 00:00;06/12/2020 00:00;Ka 1.0 Ticvt Flex 8v 5p
06/11/2021 00:00;17/12/2021 00:00;Ka 1.0 Ticvt Flex 8v 5p
17/12/2021 00:00;17/01/2022 00:00;Ka 1.0 Ticvt Flex 8v 5p
17/01/2022 00:00;17/02/2022 00:00;Ka 1.0 Ticvt Flex 8v 5p
17/02/2022 00:00;17/03/2022 00:00;Ka 1.0 Ticvt Flex 8v 5p
17/03/2022 00:00;17/04/2022 00:00;Ka 1.0 Ticvt Flex 8v 5p
17/04/2022 00:00;25/05/2022 00:00;Ka 1.0 Ticvt Flex 8v 5p
02/04/2021 00:00;02/04/2021 00:00;Ka 1.0 Ticvt Flex 8v 5p
02/04/2021 00:00;02/05/2021 00:00;Ka 1.0 Ticvt Flex 8v 5p
02/05/2021 00:00;02/06/2021 00:00;Ka 1.0 Ticvt Flex 8v 5p
02/06/2021 00:00;02/07/2021 00:00;Ka 1.0 Ticvt Flex 8v 5p
02/07/2021 00:00;02/08/2021 00:00;Ka 1.0 Ticvt Flex 8v 5p
02/08/2021 00:00;01/09/2021 00:00;Ka 1.0 Ticvt Flex 8v 5p
25/10/2020 00:00;25/11/2020 00:00;Ka 1.0 Ticvt Flex 8v 5p
25/11/2020 00:00;18/12/2020 00:00;Ka 1.0 Ticvt Flex 8v 5p
25/10/2020 00:00;25/11/2020 00:00;Ka 1.0 Ticvt Flex 8v 5p
25/11/2020 00:00;25/12/2020 00:00;Ka 1.0 Ticvt Flex 8v 5p
25/12/2020 00:00;19/01/2021 00:00;Ka 1.0 Ticvt Flex 8v 5p
17/10/2020 00:00;17/11/2020 00:00;Ka 1.0 Ticvt Flex 8v 5p
17/11/2020 00:00;17/12/2020 00:00;Ka 1.0 Ticvt Flex 8v 5p
17/12/2020 00:00;17/01/2021 00:00;Ka 1.0 Ticvt Flex 8v 5p
17/01/2021 00:00;17/02/2021 00:00;Ka 1.0 Ticvt Flex 8v 5p
17/02/2021 00:00;17/03/2021 00:00;Ka 1.0 Ticvt Flex 8v 5p
17/03/2021 00:00;17/04/2021 00:00;Ka 1.0 Ticvt Flex 8v 5p
17/04/2021 00:00;17/05/2021 00:00;Ka 1.0 Ticvt Flex 8v 5p
17/05/2021 00:00;17/06/2021 00:00;Ka 1.0 Ticvt Flex 8v 5p
17/06/2021 00:00;17/07/2021 00:00;Ka 1.0 Ticvt Flex 8v 5p
17/07/2021 00:00;17/08/2021 00:00;Ka 1.0 Ticvt Flex 8v 5p
17/08/2021 00:00;17/09/2021 00:00;Ka 1.0 Ticvt Flex 8v 5p
17/09/2021 00:00;17/10/2021 00:00;Ka 1.0 Ticvt Flex 8v 5p
17/10/2021 00:00;17/11/2021 00:00;Ka 1.0 Ticvt Flex 8v 5p
17/11/2021 00:00;06/01/2022 00:00;Ka 1.0 Ticvt Flex 8v 5p
25/10/2020 00:00;25/11/2020 00:00;Ka 1.0 Ticvt Flex 8v 5p
25/11/2020 00:00;04/12/2020 00:00;Ka 1.0 Ticvt Flex 8v 5p
25/10/2020 00:00;25/11/2020 00:00;Ka 1.0 Ticvt Flex 8v 5p
25/11/2020 00:00;07/12/2020 00:00;Ka 1.0 Ticvt Flex 8v 5p
25/10/2020 00:00;25/11/2020 00:00;Ka 1.0 Ticvt Flex 8v 5p
25/11/2020 00:00;11/12/2020 00:00;Ka 1.0 Ticvt Flex 8v 5p
25/10/2020 00:00;25/11/2020 00:00;Ka 1.0 Ticvt Flex 8v 5p
25/11/2020 00:00;07/12/2020 00:00;Ka 1.0 Ticvt Flex 8v 5p
25/10/2020 00:00;25/11/2020 00:00;Ka 1.0 Ticvt Flex 8v 5p
25/11/2020 00:00;10/12/2020 00:00;Ka 1.0 Ticvt Flex 8v 5p
17/10/2020 00:00;17/11/2020 00:00;Ka + Sedan 1.5 16v Flex 4p
17/11/2020 00:00;04/12/2020 00:00;Ka + Sedan 1.5 16v Flex 4p
17/10/2020 00:00;17/11/2020 00:00;Ka + Sedan 1.5 16v Flex 4p
17/11/2020 00:00;17/12/2020 00:00;Ka + Sedan 1.5 16v Flex 4p
17/12/2020 00:00;17/01/2021 00:00;Ka + Sedan 1.5 16v Flex 4p
17/01/2021 00:00;17/02/2021 00:00;Ka + Sedan 1.5 16v Flex 4p
17/02/2021 00:00;17/03/2021 00:00;Ka + Sedan 1.5 16v Flex 4p
17/03/2021 00:00;17/04/2021 00:00;Ka + Sedan 1.5 16v Flex 4p
17/04/2021 00:00;31/05/2021 00:00;Ka + Sedan 1.5 16v Flex 4p
02/11/2021 00:00;02/12/2021 00:00;Ka + Sedan 1.5 16v Flex 4p
02/12/2021 00:00;02/01/2022 00:00;Ka + Sedan 1.5 16v Flex 4p
02/01/2022 00:00;29/01/2022 00:00;Ka + Sedan 1.5 16v Flex 4p
17/10/2020 00:00;17/11/2020 00:00;Ka + Sedan 1.5 16v Flex 4p
17/11/2020 00:00;17/12/2020 00:00;Ka + Sedan 1.5 16v Flex 4p
17/12/2020 00:00;17/01/2021 00:00;Ka + Sedan 1.5 16v Flex 4p
17/01/2021 00:00;17/02/2021 00:00;Ka + Sedan 1.5 16v Flex 4p
17/02/2021 00:00;17/03/2021 00:00;Ka + Sedan 1.5 16v Flex 4p
17/03/2021 00:00;17/04/2021 00:00;Ka + Sedan 1.5 16v Flex 4p
17/04/2021 00:00;17/05/2021 00:00;Ka + Sedan 1.5 16v Flex 4p
17/05/2021 00:00;17/06/2021 00:00;Ka + Sedan 1.5 16v Flex 4p
17/06/2021 00:00;17/07/2021 00:00;Ka + Sedan 1.5 16v Flex 4p
17/07/2021 00:00;17/08/2021 00:00;Ka + Sedan 1.5 16v Flex 4p
17/08/2021 00:00;17/09/2021 00:00;Ka + Sedan 1.5 16v Flex 4p
17/10/2020 00:00;12/11/2020 00:00;Ka + Sedan 1.5 16v Flex 4p
02/12/2021 00:00;17/12/2021 00:00;Ka + Sedan 1.5 16v Flex 4p
17/12/2021 00:00;17/01/2022 00:00;Ka + Sedan 1.5 16v Flex 4p
17/01/2022 00:00;17/02/2022 00:00;Ka + Sedan 1.5 16v Flex 4p
17/02/2022 00:00;17/03/2022 00:00;Ka + Sedan 1.5 16v Flex 4p
17/03/2022 00:00;17/04/2022 00:00;Ka + Sedan 1.5 16v Flex 4p
17/04/2022 00:00;17/05/2022 00:00;Ka + Sedan 1.5 16v Flex 4p
17/10/2020 00:00;17/11/2020 00:00;Ka 1.0 Ticvt Flex 8v 5p
17/11/2020 00:00;17/12/2020 00:00;Ka 1.0 Ticvt Flex 8v 5p
17/12/2020 00:00;17/01/2021 00:00;Ka 1.0 Ticvt Flex 8v 5p
